"instruction","family","latency","throughput","uops","ports"
"VCVTDQ2PS (YMM, M256)","AVX","[≤9;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTDQ2PS (YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTPD2DQ (XMM, M128)","AVX","[≤9;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTPD2DQ (XMM, M256)","AVX","[≤12;≤15]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTPD2DQ (XMM, XMM)","AVX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTPD2DQ (XMM, YMM)","AVX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTPD2PS (XMM, M128)","AVX","[≤9;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTPD2PS (XMM, M256)","AVX","[≤12;≤15]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTPD2PS (XMM, XMM)","AVX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTPD2PS (XMM, YMM)","AVX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTPS2DQ (XMM, M128)","AVX","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTPS2DQ (XMM, XMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTPS2DQ (YMM, M256)","AVX","[≤9;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTPS2DQ (YMM, YMM)","AVX","4","0.50 / 0.50","1 / 1","1*p01"
"VCVTPS2PD (XMM, M64)","AVX","[≤8;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTPS2PD (XMM, XMM)","AVX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTPS2PD (YMM, M128)","AVX","[≤9;≤12]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTPS2PD (YMM, XMM)","AVX","7","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSD2SI (R32, M64)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTSD2SI (R32, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTSD2SI (R64, M64)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTSD2SI (R64, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTSD2SS (XMM, XMM, M64)","AVX","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTSD2SS (XMM, XMM, XMM)","AVX","[1;5]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSI2SD (XMM, XMM, M32)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTSI2SD (XMM, XMM, M64)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTSI2SD (XMM, XMM, R32)","AVX","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSI2SD (XMM, XMM, R64)","AVX","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSI2SS (XMM, XMM, M32)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTSI2SS (XMM, XMM, M64)","AVX","[1;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTSI2SS (XMM, XMM, R32)","AVX","[4;≤7]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSI2SS (XMM, XMM, R64)","AVX","[1;≤8]","2.00 / 2.00","3 / 3","1*p01+2*p5"
"VCVTSS2SD (XMM, XMM, M32)","AVX","[4;≤11]","0.50 / 0.50","1 / 2","1*p01+1*p23A"
"VCVTSS2SD (XMM, XMM, XMM)","AVX","[4;5]","1.00 / 1.00","2 / 2","1*p01+1*p5"
"VCVTSS2SI (R32, M32)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTSS2SI (R32, XMM)","AVX","≤7","1.00 / 1.00","2 / 2","1*p0+1*p01"
"VCVTSS2SI (R64, M32)","AVX","≤12","1.00 / 1.00","2 / 3","1*p0+1*p01+1*p23A"
"VCVTSS2SI (R64, XMM)","AVX","≤8","1.00 / 1.00","3 / 3","1*p0+1*p01+1*p5"
"VCVTTPD2DQ (XMM, M128)","AVX","[≤9;≤12]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTTPD2DQ (XMM, M256)","AVX","[≤12;≤15]","1.00 / 1.00","2 / 3","1*p01+1*p23A+1*p5"
"VCVTTPD2DQ (XMM, XMM)","AVX","5","1.00 / 1.00","2 / 2","1*p01+1*p5"
