"instruction","family","latency","throughput","uops","ports"
"SHRD_CL (R64, R64, CL)","BASE","[1;5]","1.00 / 1.29","4 / 4","1*p0156+2*p06+1*p1"
"SHRD_IMMB (R16, R16, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHRD_IMMB (R16, R16, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHRD_IMMB (R32, R32, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHRD_IMMB (R32, R32, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHRD_IMMB (R64, R64, 0)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SHRD_IMMB (R64, R64, I8)","BASE","[1;3]","1.00 / 1.00","1 / 1","1*p1"
"SIDT (M80)","BASE","≤21","3.00 / 6.00","9 / 10","3*p06+3*p1+1*p23+1*p237+2*p4"
"SLDT (M16)","BASE","≤11","2.50 / 7.00","8 / 8","5*p06+1*p1+1*p23+1*p4"
"SLDT (R16)","BASE","1","2.00 / 6.00","6 / 6","1*p0156+4*p06+1*p1"
"SLDT (R32)","BASE","","2.00 / 6.00","6 / 6","1*p0156+4*p06+1*p1"
"SLDT (R64)","BASE","","2.00 / 6.00","6 / 6","1*p0156+4*p06+1*p1"
"SMSW (M16)","BASE","≤11","1.00 / 9.00","5 / 5","2*p06+1*p23+1*p4+1*p5"
"SMSW (R16)","BASE","1","1.00 / 9.00","4 / 4","1*p0156+2*p06+1*p5"
"SMSW (R32)","BASE","","1.00 / 9.00","4 / 4","1*p0156+2*p06+1*p5"
"SMSW (R64)","BASE","","1.00 / 9.00","4 / 4","1*p0156+2*p06+1*p5"
"STC","BASE","","0.25 / 0.25","1 / 1","1*p0156"
"STD","BASE","","0.75 / 4.00","3 / 2","2*p0156+1*p06"
"STI","BASE","","2.00 / 4.00","6 / 6","1*p0156+4*p06+1*p1"
"STOSB","BASE","[≤0;≤6]","1.00 / 1.00","3 / 3","1*p0156+1*p23+1*p4"
"STOSB_REPE","BASE","","15.00 / 26.00","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STOSB_REPNE","BASE","","15.00 / 26.00","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STOSD","BASE","[≤0;≤5]","1.00 / 1.00","3 / 3","1*p0156+1*p23+1*p4"
"STOSD_REPE","BASE","","15.00 / 26.05","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STOSD_REPNE","BASE","","15.00 / 26.05","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STOSW","BASE","[≤0;≤6]","1.00 / 1.00","3 / 3","1*p0156+1*p23+1*p4"
"STOSW_REPE","BASE","","15.00 / 26.00","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STOSW_REPNE","BASE","","15.00 / 26.00","76 / 73","3*p01+15*p015+3*p05+25*p06+3*p1+2*p15+10*p23+8*p4+9*p5"
"STR (M16)","BASE","≤11","2.50 / 7.00","8 / 8","5*p06+1*p1+1*p23+1*p4"
"STR (R16)","BASE","1","2.00 / 7.00","6 / 6","1*p0156+4*p06+1*p1"
"STR (R32)","BASE","","2.00 / 7.00","6 / 6","1*p0156+4*p06+1*p1"
"STR (R64)","BASE","","2.00 / 7.00","6 / 6","1*p0156+4*p06+1*p1"
"SUB (AL, 0)","BASE","1","0.25 / 0.50","1 / 1","1*p0156"
"SUB (AL, I8)","BASE","1","0.25 / 0.50","1 / 1","1*p0156"
"SUB (AX, I16)","BASE","1","0.25 / 0.53","1 / 1","1*p0156"
"SUB (EAX, I32)","BASE","1","0.25 / 0.50","1 / 1","1*p0156"
"SUB (M16, 0)","BASE","[≤3;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M16, I16)","BASE","[≤3;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M16, I8)","BASE","[≤3;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M16, R16)","BASE","[1;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M32, 0)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M32, I32)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M32, I8)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M32, R32)","BASE","[1;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M64, 0)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M64, I32)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M64, I8)","BASE","[≤3;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M64, R64)","BASE","[1;≤10]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M8, 0)","BASE","[≤3;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M8, I8)","BASE","[≤3;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M8, R8h)","BASE","[1;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (M8, R8l)","BASE","[1;≤11]","1.00 / 1.00","2 / 4","1*p0156+1*p23+1*p237+1*p4"
"SUB (R16, 0)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
"SUB (R16, I16)","BASE","1","0.25 / 0.28","1 / 1","1*p0156"
"SUB (R16, I8)","BASE","1","0.25 / 0.25","1 / 1","1*p0156"
