"instruction","family","latency","throughput","uops","ports"
"VGF2P8MULB_EVEX (XMM, XMM, XMM)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8MULB_EVEX (YMM, YMM, M256)","AVX512EVEX","[5;≤12]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8MULB_EVEX (YMM, YMM, YMM)","AVX512EVEX","5","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8MULB_Z (XMM, K, XMM, M128)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8MULB_Z (XMM, K, XMM, XMM)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8MULB_Z (YMM, K, YMM, M256)","AVX512EVEX","[9;≤15]","0.50 / 0.50","2 / 2","1*p01+1*p23"
"VGF2P8MULB_Z (YMM, K, YMM, YMM)","AVX512EVEX","[9;10]","0.50 / 0.50","1 / 1","1*p01"
"VGF2P8MULB_Z (ZMM, K, ZMM, M512)","AVX512EVEX","[9;≤15]","1.00 / 1.00","2 / 2","1*p0+1*p23"
"VGF2P8MULB_Z (ZMM, K, ZMM, ZMM)","AVX512EVEX","[9;10]","1.00 / 1.00","1 / 1","1*p0"
"VINSERTF32X4 (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF32X4 (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X4 (YMM, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF32X4 (YMM, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X4 (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X4 (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X4 (ZMM, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X4 (ZMM, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X4_Z (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF32X4_Z (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X4_Z (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X4_Z (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X8 (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X8 (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X8 (ZMM, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X8 (ZMM, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF32X8_Z (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF32X8_Z (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2 (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF64X2 (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2 (YMM, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF64X2 (YMM, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2 (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X2 (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2 (ZMM, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X2 (ZMM, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2_Z (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTF64X2_Z (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X2_Z (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X2_Z (ZMM, K, ZMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X4 (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X4 (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X4 (ZMM, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X4 (ZMM, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTF64X4_Z (ZMM, K, ZMM, M256, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
"VINSERTF64X4_Z (ZMM, K, ZMM, YMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4 (YMM, K, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI32X4 (YMM, K, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4 (YMM, YMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p015+1*p23"
"VINSERTI32X4 (YMM, YMM, XMM, I8)","AVX512EVEX","3","1.00 / 1.00","1 / 1","1*p5"
"VINSERTI32X4 (ZMM, K, ZMM, M128, I8)","AVX512EVEX","[1;≤9]","0.50 / 0.50","2 / 2","1*p05+1*p23"
