"instruction","family","latency","throughput","uops","ports"
"VGATHERQPS (XMM, VSIB_YMM, XMM)","AVX2GATHER","[≤0;20]","2.00 / 3.00","4 / 5","1*p0+1*p015+4*p23+1*p5"
"VPGATHERDD (XMM, VSIB_XMM, XMM)","AVX2GATHER","[≤0;20]","2.00 / 3.00","4 / 5","1*p0+1*p015+4*p23+1*p5"
"VPGATHERDD (YMM, VSIB_YMM, YMM)","AVX2GATHER","[≤0;22]","4.00 / 5.00","4 / 5","1*p0+1*p015+8*p23+1*p5"
"VPGATHERDQ (XMM, VSIB_XMM, XMM)","AVX2GATHER","[≤0;18]","1.00 / 2.00","4 / 5","1*p0+1*p015+2*p23+1*p5"
"VPGATHERDQ (YMM, VSIB_XMM, YMM)","AVX2GATHER","[≤0;20]","2.00 / 3.00","4 / 5","1*p0+1*p015+4*p23+1*p5"
"VPGATHERQD (XMM, VSIB_XMM, XMM)","AVX2GATHER","[≤0;18]","1.00 / 2.00","4 / 5","1*p0+1*p015+2*p23+1*p5"
"VPGATHERQD (XMM, VSIB_YMM, XMM)","AVX2GATHER","[≤0;20]","2.00 / 3.00","4 / 5","1*p0+1*p015+4*p23+1*p5"
"VPGATHERQQ (XMM, VSIB_XMM, XMM)","AVX2GATHER","[≤0;18]","1.00 / 2.00","4 / 5","1*p0+1*p015+2*p23+1*p5"
"VPGATHERQQ (YMM, VSIB_YMM, YMM)","AVX2GATHER","[≤0;20]","2.00 / 3.00","4 / 5","1*p0+1*p015+4*p23+1*p5"
"VADDPD (XMM, K, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD (XMM, K, XMM, M64_1to2)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD (YMM, K, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD (YMM, K, YMM, M64_1to4)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD (YMM, K, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD (ZMM, K, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD (ZMM, K, ZMM, M64_1to8)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPD (ZMM, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD (ZMM, ZMM, M64_1to8)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD (ZMM, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPD_ER (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPD_ER (ZMM, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPD_ER_Z (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPD_EVEX (XMM, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_EVEX (XMM, XMM, M64_1to2)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_EVEX (XMM, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD_EVEX (YMM, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_EVEX (YMM, YMM, M64_1to4)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_EVEX (YMM, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD_Z (XMM, K, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_Z (XMM, K, XMM, M64_1to2)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_Z (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD_Z (YMM, K, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_Z (YMM, K, YMM, M64_1to4)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPD_Z (YMM, K, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPD_Z (ZMM, K, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD_Z (ZMM, K, ZMM, M64_1to8)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPD_Z (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS (XMM, K, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS (XMM, K, XMM, M32_1to4)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS (XMM, K, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPS (YMM, K, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS (YMM, K, YMM, M32_1to8)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS (YMM, K, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPS (ZMM, K, ZMM, M32_1to16)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS (ZMM, K, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS (ZMM, ZMM, M32_1to16)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS (ZMM, ZMM, M512)","AVX512EVEX","[4;≤12]","1.00 / 1.00","1 / 2","1*p0+1*p23"
"VADDPS (ZMM, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS_ER (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS_ER (ZMM, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS_ER_Z (ZMM, K, ZMM, ZMM)","AVX512EVEX","4","1.00 / 1.00","1 / 1","1*p0"
"VADDPS_EVEX (XMM, XMM, M128)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_EVEX (XMM, XMM, M32_1to4)","AVX512EVEX","[4;≤11]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_EVEX (XMM, XMM, XMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
"VADDPS_EVEX (YMM, YMM, M256)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_EVEX (YMM, YMM, M32_1to8)","AVX512EVEX","[4;≤12]","0.50 / 0.53","1 / 2","1*p01+1*p23"
"VADDPS_EVEX (YMM, YMM, YMM)","AVX512EVEX","4","0.50 / 0.50","1 / 1","1*p01"
